Data,Objeto,Lidos DW,Enviados SFDC,Sucesso,Rejeitados
2022-09-06 08:03:00,CONSULTA, 91013, 8167, 6673, 1494
2022-09-06 08:03:00,CONVENIO, 504, 0, 0, 0
2022-09-06 08:03:00,CORPO_CLINICO, 1006, 11, 11, 0
2022-09-06 08:03:00,MEDICO_REFERENCIADOR, 11037, 40, 40, 0
2022-09-06 08:03:00,PACIENTE, 43235, 860, 860, 0
2022-09-06 08:03:00,PLANO_CONVENIO, 1749, 10, 10, 0
2022-09-06 08:03:00,UNIDADE, 36, 0, 0, 0
2022-09-05 08:05:00,CONSULTA, 89897, 2667, 1261, 1406
2022-09-05 08:05:00,CONVENIO, 507, 0, 0, 0
2022-09-05 08:05:00,CORPO_CLINICO, 1014, 6, 6, 0
2022-09-05 08:05:00,MEDICO_REFERENCIADOR, 10930, 10, 10, 0
2022-09-05 08:05:00,PACIENTE, 42849, 10, 10, 0
2022-09-05 08:05:00,PLANO_CONVENIO, 1746, 4, 4, 0
2022-09-05 08:05:00,UNIDADE, 37, 0, 0, 0
2022-09-04 08:06:00,CONSULTA, 93589, 7139, 5666, 1473
2022-09-04 08:06:00,CONVENIO, 509, 1, 1, 0
2022-09-04 08:06:00,CORPO_CLINICO, 1022, 15, 15, 0
2022-09-04 08:06:00,MEDICO_REFERENCIADOR, 11143, 29, 29, 0
2022-09-04 08:06:00,PACIENTE, 43972, 636, 636, 0
2022-09-04 08:06:00,PLANO_CONVENIO, 1766, 8, 8, 0
2022-09-04 08:06:00,UNIDADE, 37, 0, 0, 0
2022-09-03 07:56:00,CONSULTA, 95080, 1668, 137, 1531
2022-09-03 07:56:00,CONVENIO, 511, 0, 0, 0
2022-09-03 07:56:00,CORPO_CLINICO, 1022, 1, 1, 0
2022-09-03 07:56:00,MEDICO_REFERENCIADOR, 11246, 57, 57, 0
2022-09-03 07:56:00,PACIENTE, 44384, 2, 2, 0
2022-09-03 07:56:00,PLANO_CONVENIO, 1776, 5, 5, 0
2022-09-03 07:56:00,UNIDADE, 37, 0, 0, 0
2022-09-02 08:12:00,CONSULTA, 99351, 23509, 21923, 1586
2022-09-02 08:12:00,CONVENIO, 511, 0, 0, 0
2022-09-02 08:12:00,CORPO_CLINICO, 1032, 183, 183, 0
2022-09-02 08:12:00,MEDICO_REFERENCIADOR, 11470, 120, 120, 0
2022-09-02 08:12:00,PACIENTE, 45568, 2403, 2403, 0
2022-09-02 08:12:00,PLANO_CONVENIO, 1792, 13, 13, 0
2022-09-02 08:12:00,UNIDADE, 37, 0, 0, 0
2022-09-01 08:00:00,CONSULTA, 91459, 1724, 349, 1375
2022-09-01 08:00:00,CONVENIO, 506, 0, 0, 0
2022-09-01 08:00:00,CORPO_CLINICO, 1002, 2, 2, 0
2022-09-01 08:00:00,MEDICO_REFERENCIADOR, 11095, 0, 0, 0
2022-09-01 08:00:00,PACIENTE, 43319, 4, 4, 0
2022-09-01 08:00:00,PLANO_CONVENIO, 1739, 4, 4, 0
2022-09-01 08:00:00,UNIDADE, 37, 0, 0, 0
