Data,Objeto,Lidos Origem,Enviados SFDC,Sucesso,Rejeitados
2022-08-30 09:02:00,Paciente,0,0,0,0
2022-08-30 09:02:00,Encaminhamento,0,0,0,0
2022-08-30 09:02:00,Solicitacao,1265,95,66,29
2022-08-29 09:03:00,Paciente,0,0,0,0
2022-08-29 09:03:00,Solicitacao,1227,30,3,27
2022-08-29 09:03:00,Encaminhamento,0,0,0,0
2022-08-28 09:02:00,Paciente,0,0,0,0
2022-08-28 09:02:00,Encaminhamento,0,0,0,0
2022-08-28 09:02:00,Solicitacao,1306,77,46,31
2022-08-27 09:02:00,Paciente,3,3,3,0
2022-08-27 09:02:00,Encaminhamento,0,0,0,0
2022-08-27 09:02:00,Solicitacao,1396,131,52,79
2022-08-26 09:02:00,Paciente,2,2,2,0
2022-08-26 09:02:00,Encaminhamento,0,0,0,0
2022-08-26 09:02:00,Solicitacao,1432,92,13,79
2022-08-25 09:02:00,Paciente,0,0,0,0
2022-08-25 09:02:00,Encaminhamento,0,0,0,0
2022-08-25 09:02:00,Solicitacao,1413,100,70,30
2022-08-24 09:03:00,Paciente,0,0,0,0
2022-08-24 09:03:00,Encaminhamento,0,0,0,0
2022-08-24 09:03:00,Solicitacao,1339,126,100,26
2022-08-23 09:02:00,Paciente,0,0,0,0
2022-08-23 09:02:00,Encaminhamento,0,0,0,0
2022-08-23 09:02:00,Solicitacao,1239,117,91,26
2022-08-22 09:02:00,Paciente,0,0,0,0
2022-08-22 09:02:00,Encaminhamento,0,0,0,0
2022-08-22 09:02:00,Solicitacao,1206,26,0,26
2022-08-21 09:02:00,Paciente,0,0,0,0
2022-08-21 09:02:00,Encaminhamento,0,0,0,0
2022-08-21 09:02:00,Solicitacao,1308,26,0,26
2022-08-20 09:02:00,Paciente,0,0,0,0
2022-08-20 09:02:00,Encaminhamento,0,0,0,0
2022-08-20 09:02:00,Solicitacao,1394,102,68,34
2022-08-19 09:02:00,Paciente,0,0,0,0
2022-08-19 09:02:00,Encaminhamento,0,0,0,0
2022-08-19 09:02:00,Solicitacao,1387,90,54,36
2022-08-18 09:04:00,Paciente,0,0,0,0
2022-08-18 09:04:00,Encaminhamento,0,0,0,0
2022-08-18 09:04:00,Solicitacao,1382,148,112,36
2022-08-17 09:03:00,Paciente,0,0,0,0
2022-08-17 09:03:00,Solicitacao,1265,81,50,31
2022-08-17 09:03:00,Encaminhamento,0,0,0,0
2022-08-16 09:03:00,Paciente,0,0,0,0
2022-08-16 09:03:00,Solicitacao,1215,63,32,31
2022-08-16 09:03:00,Encaminhamento,0,0,0,0
2022-08-15 09:02:00,Paciente,0,0,0,0
2022-08-15 09:02:00,Encaminhamento,2,0,0,0
2022-08-15 09:02:00,Solicitacao,1261,41,0,41
2022-08-14 09:02:00,Paciente,0,0,0,0
2022-08-14 09:02:00,Encaminhamento,3,0,0,0
2022-08-14 09:02:00,Solicitacao,1358,41,0,41
2022-08-13 09:02:00,Paciente,0,0,0,0
2022-08-13 09:02:00,Encaminhamento,7,0,0,0
2022-08-13 09:02:00,Solicitacao,1440,79,38,41
2022-08-12 09:02:00,Paciente,0,0,0,0
2022-08-12 09:02:00,Encaminhamento,11,0,0,0
2022-08-12 09:02:00,Solicitacao,1498,93,51,42
2022-08-11 09:02:00,Paciente,0,0,0,0
2022-08-11 09:02:00,Solicitacao,1462,99,58,41
2022-08-11 09:02:00,Encaminhamento,12,0,0,0
2022-08-10 09:02:00,Paciente,0,0,0,0
2022-08-10 09:02:00,Encaminhamento,12,0,0,0
2022-08-10 09:02:00,Solicitacao,1395,101,69,32
2022-08-09 09:02:00,Paciente,0,0,0,0
2022-08-09 09:02:00,Encaminhamento,12,0,0,0
2022-08-09 09:02:00,Solicitacao,1327,105,73,32
2022-08-08 09:26:00,Paciente,0,0,0,0
2022-08-08 09:26:00,Encaminhamento,18,0,0,0
2022-08-08 09:26:00,Solicitacao,1304,30,0,30
2022-08-07 09:02:00,Paciente,0,0,0,0
2022-08-07 09:02:00,Encaminhamento,22,0,0,0
2022-08-07 09:02:00,Solicitacao,1361,30,0,30
2022-08-06 09:02:00,Paciente,0,0,0,0
2022-08-06 09:02:00,Solicitacao,1432,62,27,35
2022-08-06 09:02:00,Encaminhamento,25,0,0,0
2022-08-05 09:02:00,Paciente,0,0,0,0
2022-08-05 09:02:00,Solicitacao,1482,80,39,41
2022-08-05 09:02:00,Encaminhamento,32,0,0,0
2022-08-04 09:02:00,Paciente,0,0,0,0
2022-08-04 09:02:00,Encaminhamento,37,0,0,0
2022-08-04 09:02:00,Solicitacao,1502,131,96,35
2022-08-03 09:02:00,Paciente,0,0,0,0
2022-08-03 09:02:00,Encaminhamento,37,0,0,0
2022-08-03 09:02:00,Solicitacao,1453,84,2,82
2022-08-02 09:02:00,Paciente,0,0,0,0
2022-08-02 09:02:00,Encaminhamento,37,0,0,0
2022-08-02 09:02:00,Solicitacao,1398,67,38,29
2022-08-01 09:03:00,Paciente,0,0,0,0
2022-08-01 09:03:00,Solicitacao,1410,30,0,30
2022-08-01 09:03:00,Encaminhamento,38,0,0,0
