Data,Objeto,Lidos Origem,Enviados SFDC,Sucesso,Rejeitados
2022-06-21 09:02:00,Paciente,0,0,0,0
2022-06-21 09:02:00,Encaminhamento,83,5,3,2
2022-06-21 09:02:00,Solicitacao,1301,69,55,14
2022-06-20 09:02:00,Paciente,0,0,0,0
2022-06-20 09:02:00,Solicitacao,1280,14,0,14
2022-06-20 09:02:00,Encaminhamento,86,2,0,2
2022-06-19 09:02:00,Paciente,0,0,0,0
2022-06-19 09:02:00,Encaminhamento,90,4,2,2
2022-06-19 09:02:00,Solicitacao,1376,37,23,14
2022-06-18 09:02:00,Paciente,2,2,2,0
2022-06-18 09:02:00,Encaminhamento,97,11,7,4
2022-06-18 09:02:00,Solicitacao,1463,92,53,39
2022-06-17 09:02:00,Paciente,1,1,1,0
2022-06-17 09:02:00,Encaminhamento,98,9,0,9
2022-06-17 09:02:00,Solicitacao,1507,69,1,68
2022-06-16 09:02:00,Paciente,4,4,4,0
2022-06-16 09:02:00,Solicitacao,1566,69,4,65
2022-06-16 09:02:00,Encaminhamento,102,10,1,9
2022-06-15 09:02:00,Paciente,0,0,0,0
2022-06-15 09:02:00,Encaminhamento,93,4,3,1
2022-06-15 09:02:00,Solicitacao,1513,143,127,16
2022-06-14 09:03:00,Paciente,0,0,0,0
2022-06-14 09:03:00,Solicitacao,1433,68,5,63
2022-06-14 09:03:00,Encaminhamento,90,1,0,1
2022-06-13 09:02:00,Paciente,0,0,0,0
2022-06-13 09:02:00,Encaminhamento,95,1,0,1
2022-06-13 09:02:00,Solicitacao,1445,16,0,16
2022-06-12 09:02:00,Paciente,0,0,0,0
2022-06-12 09:02:00,Solicitacao,1506,16,0,16
2022-06-12 09:02:00,Encaminhamento,105,1,0,1
2022-06-11 09:02:00,Paciente,0,0,0,0
2022-06-11 09:02:00,Encaminhamento,118,3,2,1
2022-06-11 09:02:00,Solicitacao,1606,44,28,16
2022-06-10 09:02:00,Paciente,0,0,0,0
2022-06-10 09:02:00,Encaminhamento,122,8,7,1
2022-06-10 09:02:00,Solicitacao,1654,91,76,15
2022-06-09 09:02:00,Paciente,0,0,0,0
2022-06-09 09:02:00,Solicitacao,1655,76,61,15
2022-06-09 09:02:00,Encaminhamento,120,5,4,1
2022-06-08 09:03:00,Paciente,0,0,0,0
2022-06-08 09:03:00,Encaminhamento,116,12,11,1
2022-06-08 09:03:00,Solicitacao,1594,141,126,15
2022-06-06 09:02:00,Paciente,0,0,0,0
2022-06-06 09:02:00,Encaminhamento,114,2,0,2
2022-06-06 09:02:00,Solicitacao,1494,14,0,14
2022-06-05 09:02:00,Paciente,0,0,0,0
2022-06-05 09:02:00,Encaminhamento,119,8,6,2
2022-06-05 09:02:00,Solicitacao,1575,64,50,14
2022-06-04 09:02:00,Paciente,2,2,2,0
2022-06-04 09:02:00,Encaminhamento,125,10,2,8
2022-06-04 09:02:00,Solicitacao,1628,130,66,64
2022-06-03 09:02:00,Paciente,2,2,2,0
2022-06-03 09:02:00,Encaminhamento,121,12,8,4
2022-06-03 09:02:00,Solicitacao,1673,156,78,78
2022-06-02 09:02:00,Paciente,1,1,1,0
2022-06-02 09:02:00,Encaminhamento,124,9,1,8
2022-06-02 09:02:00,Solicitacao,1709,101,8,93
2022-06-01 09:02:00,Paciente,0,0,0,0
2022-06-01 09:02:00,Encaminhamento,118,12,10,2
2022-06-01 09:02:00,Solicitacao,1627,88,69,19
